"""d""","""s""","""p"""
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Tumbling"",""winter"":""true"",""distance"":10,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Tumbling"",""winter"":""true"",""distance"":7,""summer"":""false""},{""name"":""Tumbling-Gairibus"",""winter"":""true"",""distance"":8,""summer"":""true""},{""name"":""Gairibus-BhikeBhanja"",""winter"":""true"",""distance"":10,""summer"":""true""},{""name"":""BhikeBhanja-Sandakphu"",""winter"":""true"",""distance"":4,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
"{""name"":""Darjeeling""}","{""name"":""Sandakphu"",""altitude"":""12400 ft""}","[{""name"":""Darjeeling-Rimbik"",""winter"":""true"",""distance"":15,""summer"":""true""},{""name"":""Rimbik-Sirikhola"",""winter"":""true"",""distance"":4,""summer"":""true""},{""name"":""Sirikhola-Gurdum"",""winter"":""true"",""distance"":6,""summer"":""true""},{""name"":""Gurdum-Sandakphu"",""winter"":""true"",""distance"":12,""summer"":""true""}]"
